City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rome,US,70.66,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
1,Rikitea,PF,73.42,light rain,-23.1203,-134.9692,People ThankYou
2,Lujiang,CN,66.02,light rain,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
7,Cananéia,BR,71.55,overcast clouds,-25.0147,-47.9267,Pousada Ancoradouro
11,Hermanus,ZA,76.89,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
17,Avarua,CK,71.65,clear sky,-21.2078,-159.775,Paradise Inn
18,Mananara,MG,70.14,scattered clouds,-16.1667,49.7667,Chez Roger
22,Atuona,PF,78.42,overcast clouds,-9.8,-139.0333,Villa Enata
23,Jamestown,US,73.18,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
24,Hilo,US,72.81,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
25,Port Elizabeth,ZA,68.09,clear sky,-33.918,25.5701,39 On Nile Guest House
37,Port Alfred,ZA,66.09,broken clouds,-33.5906,26.891,The Halyards Hotel
41,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
44,Moranbah,AU,66.29,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
45,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
53,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Watertown,US,71.53,few clouds,42.3709,-71.1828,Apt downtown Waltham
57,Valdosta,US,78.71,moderate rain,30.8327,-83.2785,Courtyard by Marriott Valdosta
64,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
66,Port-de-Bouc,FR,67.24,clear sky,43.4,4.9833,HOTEL RESIDENCE LES AIGUADES
67,Bar Harbor,US,70.54,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
69,Richards Bay,ZA,66.18,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
71,Baikunthpur,IN,75.7,light rain,23.25,82.55,Hotel Shree Annpurna inn
74,Arraial do Cabo,BR,75.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
75,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
78,Bethel,US,68.49,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
83,Praia da Vitória,PT,71.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
85,Mastic Beach,US,70.99,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
87,Bastrop,US,75.42,overcast clouds,32.7562,-91.8724,Best Budget Inn
91,Meulaboh,ID,77.83,overcast clouds,4.1363,96.1285,Kost Pria
94,Ponta do Sol,PT,79.12,overcast clouds,32.6667,-17.1,Hotel do Campo
96,Hasaki,JP,68.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
100,Chicama,PE,72.59,broken clouds,-7.8447,-79.1469,Balihai Bungalows
104,Saldanha,ZA,66.18,clear sky,-33.0117,17.9442,Blue Bay Lodge
108,Raton,US,68.34,clear sky,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
109,Sibolga,ID,76.28,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
110,George Town,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
111,Isangel,VU,73.94,few clouds,-19.55,169.2667,Tanna Lodge
119,Anito,PH,77.92,moderate rain,12.4497,125.2886,FELIPA LAODENIO PROPERTY
120,Santa Vitória do Palmar,BR,67.96,clear sky,-33.5189,-53.3681,Hostel Comodoro
121,Inongo,CD,74.37,overcast clouds,-1.95,18.2667,Hotel Du Lac
122,Tautira,PF,71.62,few clouds,-17.7333,-149.15,Pension Oaoa
123,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
124,San Vicente,AR,77.38,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
125,Rio Grande,BR,71.94,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
127,Mahébourg,MU,70.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
129,Karpathos,GR,67.96,few clouds,35.507,27.2132,Alex
131,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
133,Cape Town,ZA,78.35,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
137,Sechura,PE,74.93,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
138,Mersing,MY,78.24,overcast clouds,2.4312,103.8405,Timotel Hotel
145,Kavieng,PG,78.94,light rain,-2.5744,150.7967,Nusa Island Retreat
147,Ambanja,MG,73.56,light rain,-13.6833,48.45,Hotel Salama and Fast Food
150,Mahon,ES,68.56,few clouds,39.8885,4.2658,ARTIEM Capri
152,Katsuura,JP,71.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
153,Faanui,PF,78.13,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
155,Martinsville,US,75.47,overcast clouds,36.6915,-79.8725,Hampton Inn Martinsville
161,Kruisfontein,ZA,65.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
166,Vao,NC,70.07,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
171,Los Llanos de Aridane,ES,73.15,volcanic ash,28.6585,-17.9182,Valle Aridane
174,Berbérati,CF,77.0,light rain,4.2612,15.7922,Prince Virgile ASSOMO-MOMORI
178,Bengkulu,ID,75.43,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
179,Le Port,RE,73.4,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
182,Alice Springs,AU,65.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
184,Cidreira,BR,71.01,broken clouds,-30.1811,-50.2056,Hotel Castelo
185,Castro,BR,77.9,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
187,Birjand,IR,72.37,clear sky,32.8663,59.2211,Birjand Tourist Hotel
188,Bredasdorp,ZA,66.27,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
190,Ontario,US,73.4,haze,34.0633,-117.6509,American Inn
192,Broome,US,69.01,overcast clouds,42.2506,-75.833,Chenango Valley State Park
194,Pisco,PE,66.02,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
195,Chui,UY,66.76,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
200,Sioux Lookout,CA,66.07,clear sky,50.1001,-91.917,Knobby's Fly-In Camps
202,Kahului,US,75.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
206,Alofi,NU,76.41,scattered clouds,-19.0595,-169.9187,Taloa Heights
209,Santa Fe,AR,75.02,clear sky,-31.6333,-60.7,Conquistador Hotel
210,Faya,SA,70.32,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
211,East London,ZA,66.31,broken clouds,-33.0153,27.9116,Tu Casa
216,Shimoda,JP,71.71,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
222,Manokwari,ID,78.17,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
223,Vaitape,PF,78.13,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
224,Guerrero Negro,MX,72.81,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
226,Vila Franca do Campo,PT,75.61,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
231,Irapuato,MX,72.55,scattered clouds,20.6833,-101.35,Best Western Plus Plaza Florida & Tower
232,Mount Isa,AU,74.97,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
240,Kushima,JP,68.13,clear sky,31.4583,131.2333,Hanaoka
247,Farafangana,MG,69.8,scattered clouds,-22.8167,47.8333,Miarina
250,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
252,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
253,Kismayo,SO,78.03,overcast clouds,-0.3582,42.5454,Agan-Hotel
255,Lorengau,PG,76.6,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
259,Payo,ID,74.93,overcast clouds,-3.7508,103.6372,Mess keban agung
265,Samarinda,ID,74.34,broken clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
266,Namatanai,PG,78.69,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
269,Port Said,EG,75.96,clear sky,31.2565,32.2841,Aracan Hotel
270,Aloleng,PH,77.0,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
272,Kailua,US,76.98,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
274,Saint George,US,68.47,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
279,Palauig,PH,77.2,overcast clouds,15.435,119.9045,Alperi Botique Resort
280,Weligama,LK,78.53,scattered clouds,5.9667,80.4167,Weligama Bay Resort
282,Erzin,TR,74.12,clear sky,36.9559,36.2,Artemis Otel
285,Sambava,MG,72.63,overcast clouds,-14.2667,50.1667,Melrose
286,Souillac,MU,70.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
288,Madang,PG,73.24,light rain,-5.2246,145.7966,Comfort Inn Hotel
289,Pelotas,BR,71.85,scattered clouds,-31.7719,-52.3425,Hotéis Jacques Georges Tower
298,Fukuechō,JP,75.15,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
301,Uíge,AO,70.74,moderate rain,-7.6087,15.0613,Hotel Catraio
304,Nabire,ID,75.52,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
305,Morristown,US,76.21,broken clouds,36.214,-83.2949,Days Inn by Wyndham Morristown
307,Fare,PF,77.94,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
320,Angoche,MZ,76.73,clear sky,-16.2325,39.9086,Guest House HESADA
321,Fenton,US,65.98,overcast clouds,42.7978,-83.7049,Fairfield Inn & Suites by Marriott Flint Fenton
328,Goderich,CA,68.92,clear sky,43.7501,-81.7165,Harmony Inn
330,Atambua,ID,74.53,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
332,San Quintín,MX,68.77,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
335,Ambilobe,MG,73.54,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
342,Camargo,MX,75.52,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
347,Lagoa,PT,71.08,clear sky,39.05,-27.9833,Casa Das Faias
350,Wenzhou,CN,75.42,light rain,27.9994,120.6668,温州喜来登酒店
354,Poum,NC,73.81,clear sky,-20.2333,164.0167,Gîte kajeon
355,Illapel,CL,76.37,few clouds,-31.6308,-71.1653,Hotel Londres
356,Bud,US,72.25,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
358,Kindersley,CA,65.25,overcast clouds,51.4668,-109.1682,Kindersley Inn
367,Shuiji,CN,71.69,clear sky,27.4214,118.345,Century Hotel
369,Tateyama,JP,71.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
374,Guilin,CN,76.17,light rain,25.2819,110.2864,Grand 0773 Hotel
382,Sri Aman,MY,74.52,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
385,Chitral,PK,68.63,clear sky,35.8462,71.7858,PTDC Motel Chitral
395,Galle,LK,79.77,scattered clouds,6.0367,80.217,Amangalla
404,Tuy Hoa,VN,75.42,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
410,Puerto Maldonado,PE,77.4,broken clouds,-12.6,-69.1833,Wasai Hotel
413,Vinh Long,VN,78.78,overcast clouds,10.25,105.9667,Phuong Thao Homestay
414,Eqbālīyeh,IR,78.62,clear sky,35.3022,51.5358,باغ ویلا طاهری
419,Jalu,LY,79.59,clear sky,29.0331,21.5482,صاحبة الفخامة
421,Halifax,CA,71.01,few clouds,44.6453,-63.5724,Hotel Halifax
426,Majholi,IN,78.12,few clouds,23.5,79.9167,Amit Jain majholi
427,Surab,PK,68.81,clear sky,28.4914,66.2585,Bismillah Hotel
432,Mackay,AU,71.04,clear sky,-21.15,149.2,International Lodge Motel
433,Port Hedland,AU,66.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
449,Miraflores,MX,66.96,broken clouds,19.2167,-98.8083,Hotel Mansión
456,Tura,IN,74.1,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
458,Mitsamiouli,KM,76.73,few clouds,-11.3847,43.2844,Foyer ADM
465,Kendari,ID,75.04,broken clouds,-3.945,122.4989,Hotel Wixel
466,Chimoio,MZ,78.66,few clouds,-19.1164,33.4833,Predio Livraria Ahmed
469,Matara,LK,78.24,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
472,Fort Payne,US,74.21,overcast clouds,34.4442,-85.7197,"Holiday Inn Express & Suites Fort Payne, an IHG Hotel"
473,Puerto Baquerizo Moreno,EC,72.59,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
474,Seoul,KR,67.51,overcast clouds,37.5683,126.9778,Lotte Hotel Seoul
476,Vallenar,CL,77.07,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
479,Warrensburg,US,67.26,overcast clouds,38.7628,-93.7361,Comfort Inn Warrensburg Station
481,Meadow Lake,US,70.48,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
484,‘Ewa Beach,US,76.95,broken clouds,21.3156,-158.0072,Uncle Junior Robert
488,Rosarito,MX,68.97,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
493,Caceres,ES,78.8,clear sky,39.522,-6.3748,Ahc Hoteles
496,Ganzhou,CN,74.25,light rain,28.8184,115.4327,Laotou Farm Restaurant Hostel
497,Siraha,NP,79.45,clear sky,26.6541,86.2087,Prashant Yadav Home
499,Sungai Padi,TH,74.98,light rain,6.0851,101.8766,237บอล&บาส
506,Williston,US,74.14,overcast clouds,48.147,-103.618,Hampton Inn & Suites Williston
513,Thohoyandou,ZA,74.93,clear sky,-22.9456,30.485,Masili Guesthouse & Conference
514,Bambanglipuro,ID,76.24,overcast clouds,-7.95,110.2833,Puri Brata
516,Karaton,ID,79.95,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
518,Chake Chake,TZ,75.92,overcast clouds,-5.2459,39.7666,Hotel Archipelago
519,Naze,JP,76.95,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
522,Puerto Peñasco,MX,78.78,clear sky,31.3167,-113.5333,Playa Bonita Resort
529,Pyapon,MM,77.97,light rain,16.2833,95.6833,Aung Naing Thu Motel
530,Port Moresby,PG,76.03,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
531,Mahanoro,MG,71.98,scattered clouds,-19.9,48.8,BUNGALOW MAHAMANINA
532,Kapit,MY,74.73,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
534,Sukumo,JP,66.56,clear sky,32.9333,132.7333,Sukumojo
535,Laramie,US,67.24,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
536,Madrid,ES,77.23,clear sky,40.4165,-3.7026,Hotel Victoria 4
537,Acireale,IT,68.58,scattered clouds,37.6125,15.1663,Santa Caterina Hotel
539,Cairo Montenotte,IT,66.81,clear sky,44.4031,8.2746,Albergo della Stazione
540,Simao,CN,68.52,overcast clouds,22.7886,100.9748,Changyu Hotel
543,Ejea de los Caballeros,ES,73.89,broken clouds,42.1263,-1.1372,Hotel Ciudad De Ejea
548,Dingle,PH,75.92,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
549,Morondava,MG,76.66,clear sky,-20.2833,44.2833,La Case Bambou
550,Santa Clarita,US,73.45,haze,34.3917,-118.5426,Hyatt Regency Valencia
554,Amuntai,ID,74.35,overcast clouds,-2.4177,115.2494,Hotel Balqis
556,Karratha,AU,74.26,clear sky,-20.7377,116.8463,ibis Styles Karratha
557,Sakaraha,MG,74.37,clear sky,-22.9,44.5333,Le Relais
559,Jericó,CO,71.51,overcast clouds,5.7921,-75.786,Las Cometas Hostel
565,Alexandria,EG,74.79,clear sky,31.2156,29.9553,Royal Crown Hotel
567,Lamesa,US,73.53,clear sky,32.7376,-101.951,Shiloh Inn Lamesa
576,Ambon City,ID,79.74,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
577,Kiryat Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
578,Ilhabela,BR,70.03,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
579,Biak,ID,75.24,scattered clouds,-0.9131,122.8766,Penginapan Kim
580,Cap Malheureux,MU,70.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
583,Tiarei,PF,71.62,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
585,Columbus,US,75.81,overcast clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
589,Antofagasta,CL,67.21,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
590,Anuradhapura,LK,77.95,broken clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
591,Las Vegas,US,73.09,clear sky,36.175,-115.1372,Plaza Hotel & Casino
592,Hondomachi-hondo,JP,74.95,clear sky,32.45,130.2,ホテル河丁
605,Yulara,AU,66.04,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
606,Darnah,LY,71.78,clear sky,32.767,22.6367,فندق الفردوس
610,Quatre Cocos,MU,70.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
619,Sunrise Manor,US,73.72,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
621,Tshikapa,CD,73.36,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
625,Masvingo,ZW,79.27,clear sky,-20.0637,30.8277,River Side Lodge
628,Wajima,JP,65.14,broken clouds,37.4,136.9,Wajiima Onsen Yashio
629,Santa Maria,BR,69.93,overcast clouds,-29.6842,-53.8069,Hotel Morotin
630,Shahr-e Bābak,IR,75.65,few clouds,30.1165,55.1186,Duna Ecolodge
632,Ambunti,PG,72.7,overcast clouds,-4.2365,142.8448,Ambunti Lodge
635,Mossamedes,AO,68.47,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
637,Marsá Maţrūḩ,EG,73.11,clear sky,31.3525,27.2453,Beau Site
645,Banda Aceh,ID,79.11,overcast clouds,5.5577,95.3222,Sulthan Hotel International
649,‘Āhuimanu,US,76.71,broken clouds,21.4447,-157.8378,Paradise Bay Resort
650,Westport,US,70.47,overcast clouds,41.1415,-73.3579,The Westport Inn
651,Tlaltenango,MX,68.5,few clouds,19.1667,-98.3333,CASA VALENCIA
652,Gimli,CA,68.43,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
660,Redlands,US,76.44,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
664,Shingū,JP,69.06,clear sky,33.7333,135.9833,Shingu UI Hotel
665,Waingapu,ID,76.8,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
673,Kigoma,TZ,78.8,clear sky,-4.8769,29.6267,MJI Mwema Lodge
674,Big Spring,US,77.27,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
675,Mogadishu,SO,78.17,overcast clouds,2.0371,45.3438,Hotel Juba
