,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rome,US,43.2128,-75.4557,70.66,81,82,1.99,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,73.42,79,100,18.59,light rain
2,Lujiang,CN,31.2581,117.2817,66.02,80,55,19.84,light rain
3,Ushuaia,AR,-54.8,-68.3,46.49,72,85,5.66,overcast clouds
4,São José da Coroa Grande,BR,-8.8978,-35.1478,81.32,70,95,11.25,overcast clouds
5,Tutóia,BR,-2.7619,-42.2744,89.58,60,67,15.46,broken clouds
6,Nicoya,CR,10.1483,-85.452,84.88,72,83,3.69,broken clouds
7,Cananéia,BR,-25.0147,-47.9267,71.55,79,88,8.1,overcast clouds
8,Butaritari,KI,3.0707,172.7902,81.79,69,34,14.58,scattered clouds
9,Albany,US,42.6001,-73.9662,68.14,86,20,3.49,few clouds
10,Qaanaaq,GL,77.484,-69.3632,20.93,70,0,7.61,clear sky
11,Hermanus,ZA,-34.4187,19.2345,76.89,68,0,19.82,clear sky
12,Esperance,AU,-33.8667,121.9,48.47,75,35,10.11,scattered clouds
13,Kuril'sk,RU,45.2333,147.8833,48.02,70,58,13.15,broken clouds
14,Barrow,US,71.2906,-156.7887,30.22,80,90,10.36,overcast clouds
15,Port Blair,IN,11.6667,92.75,81.12,80,100,10.42,heavy intensity rain
16,Hithadhoo,MV,-0.6,73.0833,84,74,90,13.38,overcast clouds
17,Avarua,CK,-21.2078,-159.775,71.65,83,10,6.91,clear sky
18,Mananara,MG,-16.1667,49.7667,70.14,83,43,2.51,scattered clouds
19,Severo-Kuril'sk,RU,50.6789,156.125,42.37,74,27,11.36,scattered clouds
20,Bluff,NZ,-46.6,168.3333,49.8,93,17,3.18,few clouds
21,Sehithwa,BW,-20.4667,22.7167,90.46,24,39,3.89,scattered clouds
22,Atuona,PF,-9.8,-139.0333,78.42,77,89,23.24,overcast clouds
23,Jamestown,US,42.097,-79.2353,73.18,75,90,5.01,overcast clouds
24,Hilo,US,19.7297,-155.09,72.81,91,75,4.61,broken clouds
25,Port Elizabeth,ZA,-33.918,25.5701,68.09,81,0,18.23,clear sky
26,San Cristobal,VE,7.7669,-72.225,82.58,63,100,7.99,overcast clouds
27,Saskylakh,RU,71.9167,114.0833,25.29,97,100,9.98,light snow
28,Tornio,FI,65.8481,24.1466,48.22,97,100,14.25,moderate rain
29,Busselton,AU,-33.65,115.3333,47.05,73,91,7.36,overcast clouds
30,Chushan,CN,33.2955,113.6528,53.33,89,100,9.78,light rain
