City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Norman Wells,CA,2021-09-26 13:03:15,65.282,-126.8329,21.24,98,32,3.18
1,Destin,US,2021-09-26 12:58:28,30.3935,-86.4958,69.98,82,0,1.01
2,Tommot,RU,2021-09-26 13:03:16,58.9564,126.2925,40.87,71,100,10.0
3,Codrington,AU,2021-09-26 13:03:16,-38.2667,141.9667,41.65,90,12,8.79
4,Ahipara,NZ,2021-09-26 13:03:16,-35.1667,173.1667,51.8,85,42,7.18
5,Punta Arenas,CL,2021-09-26 12:58:31,-53.15,-70.9167,33.91,93,40,4.61
6,Moose Factory,CA,2021-09-26 13:03:17,51.2585,-80.6094,46.04,93,100,5.35
7,Tiksi,RU,2021-09-26 13:03:17,71.6872,128.8694,34.95,97,100,17.34
8,Mataura,NZ,2021-09-26 13:03:17,-46.1927,168.8643,39.47,97,9,1.95
9,Ancud,CL,2021-09-26 13:03:18,-41.8697,-73.8203,44.13,70,6,2.44
10,Bengkulu,ID,2021-09-26 13:03:18,-3.8004,102.2655,75.79,87,100,3.65
11,Rikitea,PF,2021-09-26 13:03:18,-23.1203,-134.9692,72.79,80,2,17.9
12,Hobart,AU,2021-09-26 12:59:55,-42.8794,147.3294,44.06,83,40,1.01
13,Qaanaaq,GL,2021-09-26 13:03:19,77.484,-69.3632,17.78,67,28,6.76
14,Ko Samui,TH,2021-09-26 13:00:08,9.5357,99.9357,80.01,82,100,11.5
15,Bathsheba,BB,2021-09-26 13:03:19,13.2167,-59.5167,86.61,74,40,9.22
16,Longyearbyen,SJ,2021-09-26 13:03:19,78.2186,15.6401,39.04,93,75,6.91
17,Busselton,AU,2021-09-26 13:03:20,-33.65,115.3333,55.09,93,28,9.51
18,Ilhabela,BR,2021-09-26 13:03:20,-23.7781,-45.3581,74.98,70,3,2.26
19,Novoaleksandrovsk,RU,2021-09-26 13:03:20,45.4948,41.2207,63.28,62,96,23.4
20,Dumas,US,2021-09-26 13:03:21,35.8656,-101.9732,64.65,44,1,14.97
21,Krasnoselkup,RU,2021-09-26 13:03:21,65.7,82.4667,35.71,80,6,8.81
22,Hermanus,ZA,2021-09-26 13:03:21,-34.4187,19.2345,69.8,76,17,11.03
23,Taoudenni,ML,2021-09-26 13:03:22,22.6783,-3.9836,109.47,5,5,17.63
24,Jamestown,US,2021-09-26 13:00:11,42.097,-79.2353,55.51,10,18,6.31
25,Ust-Omchug,RU,2021-09-26 13:03:22,61.15,149.6333,29.48,92,27,6.08
26,Carnarvon,AU,2021-09-26 13:03:22,-24.8667,113.6333,65.48,65,0,10.54
27,Mahebourg,MU,2021-09-26 13:03:23,-20.4081,57.7,73.26,78,65,16.53
28,Korla,CN,2021-09-26 13:03:23,41.7597,86.1469,70.0,19,0,7.81
29,New Norfolk,AU,2021-09-26 13:03:24,-42.7826,147.0587,43.72,66,16,2.55
30,Chokurdakh,RU,2021-09-26 13:03:24,70.6333,147.9167,32.63,97,100,19.57
31,Saint-Paul,RE,2021-09-26 13:03:24,-21.0096,55.2707,77.74,77,87,0.72
32,Buxton,GB,2021-09-26 13:03:24,53.2574,-1.9098,68.05,76,9,1.99
33,Esso,RU,2021-09-26 13:03:25,55.9333,158.7,40.24,87,68,4.16
34,Esna,EG,2021-09-26 13:03:25,25.2934,32.554,97.14,15,8,16.15
35,Atuona,PF,2021-09-26 13:03:25,-9.8,-139.0333,77.4,75,62,20.13
36,Doha,QA,2021-09-26 13:01:25,25.2867,51.5333,100.38,25,0,19.57
37,Tazovskiy,RU,2021-09-26 13:03:26,67.4667,78.7,35.67,66,1,7.7
38,Ushuaia,AR,2021-09-26 13:00:18,-54.8,-68.3,38.82,58,1,4.34
39,Lebu,CL,2021-09-26 13:01:27,-37.6167,-73.65,48.85,75,7,13.4
40,Puerto Ayora,EC,2021-09-26 13:03:26,-0.7393,-90.3518,68.99,90,100,8.48
41,Marzuq,YE,2021-09-26 13:03:27,14.4,46.4667,93.04,11,9,12.26
42,Saldanha,ZA,2021-09-26 13:03:27,-33.0117,17.9442,62.1,78,10,16.35
43,Apricena,IT,2021-09-26 13:03:27,41.7839,15.4437,87.58,31,8,7.4
44,Methoni,GR,2021-09-26 13:03:28,36.8197,21.7049,83.21,55,0,10.71
45,Puerto Narino,CO,2021-09-26 13:03:28,-3.7703,-70.3831,75.15,84,43,2.73
46,Bairiki,KI,2021-09-26 13:03:29,1.3292,172.9752,82.4,74,20,13.8
47,Upington,ZA,2021-09-26 13:02:16,-28.4478,21.2561,97.97,5,32,11.86
48,Pavilosta,LV,2021-09-26 13:03:29,56.8879,21.1859,62.51,58,27,7.78
49,Snyder,US,2021-09-26 13:03:29,32.7179,-100.9176,64.54,55,1,5.75
50,Severo-Kurilsk,RU,2021-09-26 13:03:30,50.6789,156.125,46.92,91,79,10.45
51,Cherskiy,RU,2021-09-26 13:03:30,68.75,161.3,30.34,98,100,13.4
52,Sur,OM,2021-09-26 13:03:30,22.5667,59.5289,89.64,51,0,4.12
53,Port Elizabeth,ZA,2021-09-26 13:03:31,-33.918,25.5701,72.1,69,52,10.58
54,Hihya,EG,2021-09-26 13:03:31,30.6713,31.588,86.88,31,2,12.71
55,Yulara,AU,2021-09-26 13:03:31,-25.2406,130.9889,75.04,16,99,4.61
56,Port-De-Bouc,FR,2021-09-26 13:03:32,43.4,4.9833,73.78,69,0,5.75
57,Cape Town,ZA,2021-09-26 13:02:12,-33.9258,18.4232,72.27,56,12,8.46
58,Katsuura,JP,2021-09-26 13:03:32,35.1333,140.3,68.14,69,54,10.58
59,Basay,PH,2021-09-26 13:03:32,9.4087,122.64,80.89,79,46,0.78
60,Riyadh,SA,2021-09-26 13:01:31,24.6877,46.7219,98.04,12,0,11.16
61,Chuy,UY,2021-09-26 13:03:33,-33.6971,-53.4616,64.9,70,51,0.76
